fid,app_id,app_name,reviewer,rating,review_text,review_date,thumbs_up,reply_text,scraped_at,translated_review_text,translated_reply_text,topic,nielsen_principles,nielsen_principles_explaination
f015,se.skanetrafiken.washington,Skånetrafiken,Shell Uzo,1,När jag har ett eller två bussbyten så måste jag för varje byte söka delresan eftersom den hela sökningen från början bara visar ett bytesalternativ medan det i verkligheten är möjligt att välja 2-3 bussar oftast. Så ni hade kunnat göra appen smartare och visa alla möjliga byten. Detta eftersom man oftast kommer fam till bytesbusshållplats tidigare eller senare än schemalagd tid.,3/1/2025 9:56,0,Tack för dina förslag! Ett sätt att lättare komma till aktiv biljett är att långtrycka på app-ikonen och sedan välja att skapa genväg till aktiv biljett på hemskärmen. /Linus,2025-07-30T13:58:09.103240,"When I have one or two bus replacements, I have to search for each exchange for each change because the entire search from the beginning only shows a exchange option while it is in reality possible to choose 2-3 buses most often.So you could have made the app smarter and show all possible changes.This is because you usually get fam to exchange bus stop earlier or later than scheduled time.",Thanks for your suggestions!One way to more easily get to the active ticket is to long on the app icon and then choose to create a shortcut to the active ticket on the home screen./Linus,,,
f016,se.skanetrafiken.washington,Skånetrafiken,Robert Adamson,1,"Not showing correct departure time. When trains are delayed the information is shown to late, you have no chance to take an earlier train.",1/30/2025 12:28,12,,2025-07-30T13:58:09.103240,"Not showing correct departure time. When trains are delayed the information is shown to late, you have no chance to take an earlier train.",,,,
f017,se.skanetrafiken.washington,Skånetrafiken,Patrik Niklasson,5,No issues so far!,1/23/2025 8:58,0,,2025-07-30T13:58:09.103240,No issues so far!,,,,
f018,se.skanetrafiken.washington,Skånetrafiken,Liz,1,"It sucks like really bad.... The workers are arrogant about everything when you ACCIDENTALLY push them (YES ACCIDENTALLY ITS SO BAD.. not everyone is like this luckily) and the trains are always so late and it's always construction on the ride or something, learn to do better cause this is useless. Apologized one time to one of the workers after accidentally pushing them AND THEY KEPT SPEAKING?? KEEP IT TO YOURSELF, I DON'T WANNA HEAR YO PROBLEMS ABOUT PEOPLE RIDING THE TRAINS...?? Embarrassing.",1/15/2025 8:30,1,,2025-07-30T13:58:09.103240,"It sucks like really bad.... The workers are arrogant about everything when you ACCIDENTALLY push them (YES ACCIDENTALLY ITS SO BAD.. not everyone is like this luckily) and the trains are always so late and it's always construction on the ride or something, learn to do better cause this is useless. Apologized one time to one of the workers after accidentally pushing them AND THEY KEPT SPEAKING?? KEEP IT TO YOURSELF, I DON'T WANNA HEAR YO PROBLEMS ABOUT PEOPLE RIDING THE TRAINS...?? Embarrassing.",,,,
f019,se.skanetrafiken.washington,Skånetrafiken,Angel Rodriguez,4,Generally works fine,12/28/2024 22:18,2,,2025-07-30T13:58:09.103240,Generally works fine,,,,
f020,se.skanetrafiken.washington,Skånetrafiken,Albert Backenhof,5,"It's ok for what it is supposed to do. Now please make it more user-friendly. For instance, add notification when long time ticket expires and make it possible to renew on long press. Update: this got fixed promptly, unlike my review",12/18/2024 22:08,6,Hi! Thanks for your feedback. /Joakim,2025-07-30T13:58:09.103240,"It's ok for what it is supposed to do. Now please make it more user-friendly. For instance, add notification when long time ticket expires and make it possible to renew on long press. Update: this got fixed promptly, unlike my review",Hi! Thanks for your feedback. /Joakim,,,
f021,se.skanetrafiken.washington,Skånetrafiken,Kenneth Eriksson,2,"Lite sneaky att ""Activate now"" knappen ligger på exakt samma plats som ""OK"" efter köp. Det får ni gärna göra bättre.",11/19/2024 9:43,1,,2025-07-30T13:58:09.103240,"A little sneaky that the ""Activate Now"" button is in exactly the same place as ""OK"" after purchase.You are welcome to do that better.",,,,
f022,se.skanetrafiken.washington,Skånetrafiken,carrorune,3,"Hur kommer det sig att ni fortfarande inte fixat att man kan se alla avgångar från en hållplats? Inte ens när jag slår på ""närliggande hållplatser"" kommer båda bussarna (som avgår från samma hållplats) upp. Oerhört frustrerande att inte kunna planera sin resa ordentligt!! Efter att ha provat nästan alla kollektivtrafik-appar är den här fortfarande den bästa. Detta och att man kan se bussarna i realtid, är enda anledningen att det blir 3 stjärnor.",11/13/2024 11:56,2,,2025-07-30T13:58:09.103240,"How come you still haven't fixed that you can see all departures from a stop?Not even when I turn on ""nearby stops"", both buses (which depart from the same stop) do.Extremely frustrating not to be able to plan their trip properly !!After trying almost all public transport apps, this is still the best.This and that you can see the buses in real time is the only reason there will be 3 stars.",,,,
f023,se.skanetrafiken.washington,Skånetrafiken,Morten Østerlund Jørgensen,1,Extremely lazy staff. They don't want to check tickets and just walk very fast through the train,10/30/2024 18:17,0,,2025-07-30T13:58:09.103240,Extremely lazy staff. They don't want to check tickets and just walk very fast through the train,,,,
f024,se.skanetrafiken.washington,Skånetrafiken,Aubrey Dilson,3,I'm not sure where I can comment about the busses and not the app but the buss drivers never wait for you even when it's 1 second. I get they want to be on time but waiting a second should not be a big problem otherwise I think the app is very good when it comes to directions.,10/21/2024 8:01,1,,2025-07-30T13:58:09.103240,I'm not sure where I can comment about the busses and not the app but the buss drivers never wait for you even when it's 1 second. I get they want to be on time but waiting a second should not be a big problem otherwise I think the app is very good when it comes to directions.,,,,
f025,se.skanetrafiken.washington,Skånetrafiken,Alessio Curri,1,Why do you need my mobile number to be able to buy a train ticket? Spam much?,10/14/2024 22:47,2,,2025-07-30T13:58:09.103240,Why do you need my mobile number to be able to buy a train ticket? Spam much?,,,,
f026,se.skanetrafiken.washington,Skånetrafiken,Thomas N,1,Scanna QR-kod misslyckas väldigt ofta i bussarna. Varför inte använda NFC! 🤦‍♂️,10/11/2024 14:51,0,,2025-07-30T13:58:09.103240,Scan QR code very often fails in the buses.Why not use NFC!🤦vir,,,,
f027,se.skanetrafiken.washington,Skånetrafiken,Andrea Villalobos,4,"The best cost/benefit way to take public transport in the Scandinavian region. So just needs to improve in the options of moving in the map, especially in the walking way part.",10/9/2024 12:14,1,,2025-07-30T13:58:09.103240,"The best cost/benefit way to take public transport in the Scandinavian region. So just needs to improve in the options of moving in the map, especially in the walking way part.",,,,
f028,se.skanetrafiken.washington,Skånetrafiken,Clara D'Andrea,1,"I only gave this app one star cuz I dont know how to give it a half.... if i could give it minus, I would. Lol just got back here to give it 1 star again cuz I forgot i already gave it",9/26/2024 21:53,0,,2025-07-30T13:58:09.103240,"I only gave this app one star cuz I dont know how to give it a half.... if i could give it minus, I would. Lol just got back here to give it 1 star again cuz I forgot i already gave it",,,,
f029,se.skanetrafiken.washington,Skånetrafiken,Christian Gylling,1,"Går inte köpa biljett, Segt, Massa felmeddelanden. Kundtjänst hade ingen lösning.",9/22/2024 15:11,1,,2025-07-30T13:58:09.103240,"Can't buy a ticket, tough, lots of error messages.Customer service had no solution.",,,,
f030,se.skanetrafiken.washington,Skånetrafiken,Dilshan Weerathunga,4,"My first impression of the app isn’t good because there’s no bottom navigation bar or hamburger menu. When I press the device's back button, a location selection alert appears instead. I think this needs to be changed.",9/1/2024 19:30,1,Please upgrade the app to the latest version and hopefully it will work. /Linus,2025-07-30T13:58:09.103240,"My first impression of the app isn’t good because there’s no bottom navigation bar or hamburger menu. When I press the device's back button, a location selection alert appears instead. I think this needs to be changed.",Please upgrade the app to the latest version and hopefully it will work. /Linus,,,
f031,se.skanetrafiken.washington,Skånetrafiken,Niloofar Asadi zaki,1,"When I tried to register my number I got the below error message: Oops, something went wrong! Contact customer service for more information.",8/5/2024 13:04,0,,2025-07-30T13:58:09.103240,"When I tried to register my number I got the below error message: Oops, something went wrong! Contact customer service for more information.",,,,
f032,se.skanetrafiken.washington,Skånetrafiken,Vincent Videve,1,Inget fel på appen men skånetrafiken kan dra nånstans,8/1/2024 23:18,0,,2025-07-30T13:58:09.103240,Nothing wrong with the app but Skånetrafiken can pull somewhere,,,,
f033,se.skanetrafiken.washington,Skånetrafiken,2H2,2,Mid,7/5/2024 12:15,0,,2025-07-30T13:58:09.103240,Mid,,,,
f034,se.skanetrafiken.washington,Skånetrafiken,Adam Nadolny,5,"Great app, first time in Malmö and this app was really helpful for commuting from start to finish of my trip (CPH airport to Malmo and around the city). Thanks!",6/4/2024 18:06,2,,2025-07-30T13:58:09.103240,"Great app, first time in Malmö and this app was really helpful for commuting from start to finish of my trip (CPH airport to Malmo and around the city). Thanks!",,,,
f035,se.skanetrafiken.washington,Skånetrafiken,Jace,1,"Not only does the app not say when the transportation is late or even cancelled, but it also doesn't accurately depict the best course of action to get from point A to point B. You just gotta pray you get a good driver or the buss won't even pick you up at the stops outside town.",5/23/2024 15:49,1,,2025-07-30T13:58:09.103240,"Not only does the app not say when the transportation is late or even cancelled, but it also doesn't accurately depict the best course of action to get from point A to point B. You just gotta pray you get a good driver or the buss won't even pick you up at the stops outside town.",,,,
f036,se.skanetrafiken.washington,Skånetrafiken,Mauricio Marin Jimenez,1,It gets dumber and dumber with each update,5/20/2024 8:20,0,,2025-07-30T13:58:09.103240,It gets dumber and dumber with each update,,,,
f037,se.skanetrafiken.washington,Skånetrafiken,Anders Blomdell,1,"Går nästan aldrig att skanna biljetten på bussar , kanske på grund av för liten QR-kod",4/8/2024 13:09,0,,2025-07-30T13:58:09.103240,"Almost never can to scan the ticket on buses, perhaps because of too small QR code",,,,
f038,se.skanetrafiken.washington,Skånetrafiken,Ludvig Mäki,1,Kan inte köpa en biljett. Står att man måste vara 18 år. Står att man kan betala när man är 7-18 år...,3/30/2024 9:43,0,,2025-07-30T13:58:09.103240,Can't buy a ticket.States that you have to be 18 years old.Stands that you can pay when you are 7-18 years ...,,,,
f039,se.skanetrafiken.washington,Skånetrafiken,Sara Bearnaise,2,"Gött med biljetten i telefonen, appen är något bättre på att söka fram resor med många byten än tidigare. Tråkigt att behöva söka information om förseningar via Trafikverket om man vill ha korrekt info, Skånetrafikens app/webb visar sällan rätt. Jag får avisering när månadsbiljetten gått ut men inte för de resor jag följer. När jag vill följa en händelse i appen får jag meddelande ""null/nnull"". Appen har tillåtelse att skicka alla notiser, även när telefonen är i stör ej-läge, funkar ändå inte.",3/18/2024 12:54,0,,2025-07-30T13:58:09.103240,"Fit with the ticket on the phone, the app is something better at searching for trips with many changes than before.Sad to have to seek information about delays through the Swedish Transport Administration if you want correct info, Skånetrafiken's app/web rarely shows right.I get notification when the monthly ticket expires but not for the trips I follow.When I want to follow an event in the app, I get a message ""Null/Nnull"".The app is allowed to send all notes, even when the phone is in disturbing no position, does not work.",,,,
f040,se.skanetrafiken.washington,Skånetrafiken,Marcus Holmström,1,"Sämsta kollektivtrafikföretaget i Sverige. Var noga och sök varje delresa separat, annars kommer felaktiga förslag som skickar dig åt fel håll. I övrigt är biljettpriset ständigt ökande, busslinjer dras in och avgångar blir färre och färre, speciellt utanför storstäder. Skånetrafiken förtjänar INTE skattemedel till att finansiera sin misslyckade verksamhet.",3/13/2024 7:57,0,,2025-07-30T13:58:09.103240,"The worst public transport company in Sweden.Be careful and seek each sub -trip separately, otherwise incorrect suggestions will send you in the wrong direction.Otherwise, the fare is constantly increasing, bus lines are withdrawn and departures become fewer and fewer, especially outside big cities.Skånetrafiken does not deserve tax assets to finance its failed business.",,,,
f041,se.skanetrafiken.washington,Skånetrafiken,hasuchobogosu,1,Is not accurate with delays. Will change time even if there is no delay then won't correct it until after it departed. Besides that really all Skånetrafikens services are at best a 2/10 and the prices are outrageous considering it's all paid by taxpayers.,2/20/2024 19:14,3,,2025-07-30T13:58:09.103240,Is not accurate with delays. Will change time even if there is no delay then won't correct it until after it departed. Besides that really all Skånetrafikens services are at best a 2/10 and the prices are outrageous considering it's all paid by taxpayers.,,,,
f042,se.skanetrafiken.washington,Skånetrafiken,David,1,"Biljettsystemet är katastrofalt uselt och det är tydligt att skånetrafiken endast försöker tjäna mer och mer pengar på kollektivtrafiken. Biljetterna blir dyrare, busschafförerna blir otrevligare och både bussar som tåg blir bara mer försenade.",2/4/2024 14:07,0,,2025-07-30T13:58:09.103240,"The ticket system is disastrously lousy and it is clear that Skånetrafiken is only trying to make more and more money on public transport.Tickets will be more expensive, the bus chafs will be unpleasant and both buses and trains are only more delayed.",,,,
f043,se.skanetrafiken.washington,Skånetrafiken,Tage Henningsson,4,"Bra för att komma runt ifall man behöver, bättre än blekinges",1/29/2024 8:49,1,,2025-07-30T13:58:09.103240,"Good for getting around if one needs, better than Blekinges",,,,
f044,se.skanetrafiken.washington,Skånetrafiken,Chris Johansson,4,"Vad har ni gjort med filtreringen i söken? Att hitta alla alternativ för att pendla mellan Malmö och Helsingborg går inte längre. Det finns både Pågatåg och Öresundståg som går till samma destinationer men ni filtrerar ut det ena eller det andra? Var finns alternativet som ger mig både det snabbaste tåget och Pågatågen som råkar ta 5min längre? Fixa era sökresultat, filter är ett val inte en förinställning och ställer ni in nåt så ställ in att visa allt. Tack för fixen, funkar nu :)",1/22/2024 8:50,1,Tack för din feedback! En justering gjordes i förra veckan som gjorde att Pågatågen nu borde synas även om de tar längre tid. /Linus,2025-07-30T13:58:09.103240,"What did you do with the filtering in the search?Finding all options for commuting between Malmö and Helsingborg is no longer going.There are both Pågatåg and Öresund train that go to the same destinations but you filter one or the other?Where is the option that gives me both the fastest train and the trains that happen to take 5min longer?Fix your search results, filters are a choice not a preset and you set something so set to show everything.Thanks for the fix, now works :)","Thanks for your feedback!An adjustment was made last week, which made the Pågatågen now appear even if they take longer./Linus",,,
f045,se.skanetrafiken.washington,Skånetrafiken,jo ke,2,"I travell between Höör and Malmö and have lost half of my train options since the new time table came in December 2023. I have changed the filter when searching in the app but I still only get half of the available train departures. Pls fix! Hi Linus, thanks for the reply! It seems like the issues is fixed from Höör >> Malmö. But not the other way around. Could you please look into it? Thanks!",1/19/2024 14:40,1,Tack för din feedback! Ytterligare en justering gjordes den här veckan som vi hoppas har löst problemet. /Linus,2025-07-30T13:58:09.103240,"I travell between Höör and Malmö and have lost half of my train options since the new time table came in December 2023. I have changed the filter when searching in the app but I still only get half of the available train departures. Pls fix! Hi Linus, thanks for the reply! It seems like the issues is fixed from Höör >> Malmö. But not the other way around. Could you please look into it? Thanks!",Thanks for your feedback!Another adjustment was made this week that we hope has solved the problem./Linus,,,
f046,se.skanetrafiken.washington,Skånetrafiken,Robin Karlsson,1,"Terribly designed app. I bought a ticket for a specific time and then a pop up asks me immediately after purchase if I want to activate my ticket, doing so invalidated it for the time I specified in the first step. Had to buy an additional ticket due to poor design.",1/2/2024 17:46,4,,2025-07-30T13:58:09.103240,"Terribly designed app. I bought a ticket for a specific time and then a pop up asks me immediately after purchase if I want to activate my ticket, doing so invalidated it for the time I specified in the first step. Had to buy an additional ticket due to poor design.",,,,
f047,se.skanetrafiken.washington,Skånetrafiken,Anna Erdei,1,"I have an Android 10. The qr code for tickets is too small and cannot be scanned on board. Every time I board the bus i have to explain that it is actually a valid ticket. Super annoying, every other app works on my phone except this.",12/20/2023 15:55,0,,2025-07-30T13:58:09.103240,"I have an Android 10. The qr code for tickets is too small and cannot be scanned on board. Every time I board the bus i have to explain that it is actually a valid ticket. Super annoying, every other app works on my phone except this.",,,,
f048,se.skanetrafiken.washington,Skånetrafiken,Krzysztof Zimmermann,1,Otroligt stökig och opålitlig,12/15/2023 12:47,0,,2025-07-30T13:58:09.103240,Incredibly messy and unreliable,,,,
f049,se.skanetrafiken.washington,Skånetrafiken,Rebecca Rose,2,"Sooo is there going to be an update to fix the issues caused by the latest update? Before I could plan my journey in one step and it would show me the bus, train and bus I need to take. Now if I put in my usual journey it says to walk 1.5 km, take a train and then walk another 2km. So now I have to create three separate searches to find out how to get there.",11/21/2023 22:22,0,"Tack för din feedback! Du kan ställa in filter för maximal gångsträcka uppe till höger i resesök. Vi hoppas att det kan hjälpa, annars får du gärna skicka dina exempel till vår kundservice (https://www.skanetrafiken.se/kundservice/). /Linus",2025-07-30T13:58:09.103240,"Sooo is there going to be an update to fix the issues caused by the latest update? Before I could plan my journey in one step and it would show me the bus, train and bus I need to take. Now if I put in my usual journey it says to walk 1.5 km, take a train and then walk another 2km. So now I have to create three separate searches to find out how to get there.","Thanks for your feedback!You can set filters for maximum walking distance to the right in travel search.We hope it can help, otherwise you are welcome to send your examples to our customer service (https://www.skanetrafiken.se/kundservice/)./Linus",,,
f050,se.skanetrafiken.washington,Skånetrafiken,Addis,1,Verkar vara omöjligt för tågen att komma i tid.,11/20/2023 17:06,0,,2025-07-30T13:58:09.103240,Seems to be impossible for the trains to arrive on time.,,,,
f051,se.skanetrafiken.washington,Skånetrafiken,Dave Newell,1,"Terrible service, trains always cancelled, rude staff, scammers.",11/13/2023 0:29,0,,2025-07-30T13:58:09.103240,"Terrible service, trains always cancelled, rude staff, scammers.",,,,
f052,se.skanetrafiken.washington,Skånetrafiken,kazi azmery,5,Good recommended,11/11/2023 15:47,1,Thank you for the positive feedback! /Linus,2025-07-30T13:58:09.103240,Good recommended,Thank you for the positive feedback! /Linus,,,
f053,se.skanetrafiken.washington,Skånetrafiken,Marius P.,5,Works great!,11/5/2023 16:34,1,Thank you for the positive feedback! /Linus,2025-07-30T13:58:09.103240,Works great!,Thank you for the positive feedback! /Linus,,,
f054,se.skanetrafiken.washington,Skånetrafiken,Pial Rahman,1,"Skulle köpa biljett men betalningsprocessen hängde sig, starta om, samma sak igen. Tredje gången funkade appen, dock hade tre biljetter köpts. När jag upptäckte detta fick jag ingen återbetalning på 428 kr för de två oaktiverade biljetterna då jag enligt kundservice inte ringt samma dag som biljetterna köptes ( märkte inte köpen vid första hand). Krångel med att appen hänger sig vid betalningsbearbetning är inte ovanligt med appen, tråkigt att kunder står för att er app inte funkar som den ska.",11/2/2023 13:30,0,,2025-07-30T13:58:09.103240,"Would buy a ticket but the payment process hung, restart, the same thing again.The third time the app worked, however, three tickets had been purchased.When I discovered this, I did not receive a refund of SEK 428 for the two unactivated tickets when, according to customer service, I did not call the same day the tickets were purchased (did not notice the purchases at first).The hassle of the app hanging in payment processing is not uncommon for the app, sad that customers stand for your app not working properly.",,,,
f055,se.skanetrafiken.washington,Skånetrafiken,Martin Pedersen,4,"Good, not great! Apparat from the occasional hickup with payments and confusing instructions when a bus is re-routed it works really well. I am missing the congestion indicators though. Sad to see them go.",10/31/2023 16:38,1,,2025-07-30T13:58:09.103240,"Good, not great! Apparat from the occasional hickup with payments and confusing instructions when a bus is re-routed it works really well. I am missing the congestion indicators though. Sad to see them go.",,,,
f056,se.skanetrafiken.washington,Skånetrafiken,Mathias Svensson,4,It's way too easy to accidentally activate a ticket right after purchased. I also wished I got a notification as a reminder when my flex 10/30 ticket is about to expire.,10/29/2023 22:08,1,,2025-07-30T13:58:09.103240,It's way too easy to accidentally activate a ticket right after purchased. I also wished I got a notification as a reminder when my flex 10/30 ticket is about to expire.,,,,
f057,se.skanetrafiken.washington,Skånetrafiken,Per He,3,"Ok app. Hade varit bättre att se en översikt över resan inklusive valda resedstumet, tiden och destinationen så att man trycker på betalknappen med lite extra lugn och ro och bli försäkrad att allt stämmer.",10/27/2023 22:11,1,,2025-07-30T13:58:09.103240,"Ok app.Would have been better to see an overview of the trip including the selected travel cloth, the time and the destination so that you press the pay button with a little extra peace and quiet and be assured that everything is right.",,,,
f058,se.skanetrafiken.washington,Skånetrafiken,Jan Elmlund,1,"Hej, jag skulle vilja åka mellan Malmö c och Malmö Drottningtorget. Skånetrafiken: ja, du får först ta bussen till Kiruna, där får du byta till snömobil för att sedan gå 30km till ett tåg som är inställt (men det är Trafikverkets fel) så då får du först navigera i Lapplands skogar i 3dagar för att nå ersättningsbussar. Ersättningsbussen går via Oslo så där är det byte (4dagars väntetid). Buss 666 från Oslo till Stockholm tar ca en vecka beroende på väder. I Stockholm får du ta flyget tilKastrup",9/23/2023 12:06,9,,2025-07-30T13:58:09.103240,"Hi, I would like to go between Malmö C and Malmö Drottningtorget.Skånetrafiken: Yes, you first have to take the bus to Kiruna, where you can switch to Snömobil and then go 30km to a train that is set (but it is the Swedish Transport Administration's fault) so you must first navigate in Lapland's forests for 3 days to reach replacement buses.The replacement bus goes via Oslo so there is a change (4 -day waiting time).Bus 666 from Oslo to Stockholm takes about a week depending on the weather.In Stockholm you can take the flight to the Tilkaktrup",,,,
f059,se.skanetrafiken.washington,Skånetrafiken,Johan Sandgren,3,Bugg. Glömmer de jag lånat ut till vid nytt månadskort,9/19/2023 11:51,0,Tack för din feedback! Vi planerar att lägga till den funktionaliteten framåt årsskiftet. /Linus,2025-07-30T13:58:09.103240,Bug.Forgets those i lent to at new monthly card,Thanks for your feedback!We plan to add that functionality to the turn of the year./Linus,,,
f060,se.skanetrafiken.washington,Skånetrafiken,Frans Rosencrantz,1,Bussen från Höganäs till Helsingborg är alltid försenad vilket gör att man missar tågen från knutpunkten. Fixa så att era busstider stämmer och ha bättre marginaler.,9/9/2023 10:21,0,,2025-07-30T13:58:09.103240,"The bus from Höganäs to Helsingborg is always delayed, which makes you miss the trains from Knutpunkten.Fix so that your bus times are right and have better margins.",,,,
f061,se.skanetrafiken.washington,Skånetrafiken,Alberto Fabbri,4,"It would be awesome if, in addition to the option of monitoring certain trips, we could save locations as in Google Maps. Especially because the app doesn't have a well implemented ""search history"" function, it always forget my home address.",8/28/2023 20:33,6,,2025-07-30T13:58:09.103240,"It would be awesome if, in addition to the option of monitoring certain trips, we could save locations as in Google Maps. Especially because the app doesn't have a well implemented ""search history"" function, it always forget my home address.",,,,
f062,se.skanetrafiken.washington,Skånetrafiken,Brandon Plombon,1,Garbage,8/25/2023 20:49,0,,2025-07-30T13:58:09.103240,Garbage,,,,
f063,se.skanetrafiken.washington,Skånetrafiken,Alfred Deutgen,2,"Har en ny samsung. Spelar inte roll hur man än vrider och vänder på telefonen med högsta ljusstyrka och ren skärm, går aldrig att lyckas skanna. Så varje gång måste jag stanna upp kön tills buss chauffören låter mig gå eller så måste jag förklara att den aldrig skannar min telefonen.",8/22/2023 16:09,1,"Testa gärna att sänka ljusstyrkan i ""Ljusstyrka på biljetten"" i Mer-tabben. På vissa telefoner har det funkat bäst med runt 30%. /Linus",2025-07-30T13:58:09.103240,"Has a new Samsung.Does not matter how you turn and turn on the phone with the highest brightness and clean screen, can never succeed.So every time I have to stop the sex until the bus the driver lets me go or I have to explain that it never scans my phone.","Try to lower the brightness of ""brightness on the ticket"" in the Mer-Tab.On some phones it has worked best with around 30%./Linus",,,
f064,se.skanetrafiken.washington,Skånetrafiken,Vernita Jones,5,"Best travel app I've used in Sweden. Thank you for switching the activation to after purchase, has saved me a few times!",8/21/2023 18:08,0,Thank you for the positive feedback. We're happy to hear that the change worked well for you. /The app team at Skånetrafiken,2025-07-30T13:58:09.103240,"Best travel app I've used in Sweden. Thank you for switching the activation to after purchase, has saved me a few times!",Thank you for the positive feedback. We're happy to hear that the change worked well for you. /The app team at Skånetrafiken,,,
