fid,reviewer,rating,review_date,thumbs_up,translated_review_text
f018,Liz,1,1/15/2025 8:30,1,"It sucks like really bad.... The workers are arrogant about everything when you ACCIDENTALLY push them (YES ACCIDENTALLY ITS SO BAD.. not everyone is like this luckily) and the trains are always so late and it's always construction on the ride or something, learn to do better cause this is useless. Apologized one time to one of the workers after accidentally pushing them AND THEY KEPT SPEAKING?? KEEP IT TO YOURSELF, I DON'T WANNA HEAR YO PROBLEMS ABOUT PEOPLE RIDING THE TRAINS...?? Embarrassing."
f019,Angel Rodriguez,4,12/28/2024 22:18,2,Generally works fine
f020,Albert Backenhof,5,12/18/2024 22:08,6,"It's ok for what it is supposed to do. Now please make it more user-friendly. For instance, add notification when long time ticket expires and make it possible to renew on long press. Update: this got fixed promptly, unlike my review"
f021,Kenneth Eriksson,2,11/19/2024 9:43,1,"A little sneaky that the ""Activate Now"" button is in exactly the same place as ""OK"" after purchase.You are welcome to do that better."
f022,carrorune,3,11/13/2024 11:56,2,"How come you still haven't fixed that you can see all departures from a stop?Not even when I turn on ""nearby stops"", both buses (which depart from the same stop) do.Extremely frustrating not to be able to plan their trip properly !!After trying almost all public transport apps, this is still the best.This and that you can see the buses in real time is the only reason there will be 3 stars."
f023,Morten Østerlund Jørgensen,1,10/30/2024 18:17,0,Extremely lazy staff. They don't want to check tickets and just walk very fast through the train
f024,Aubrey Dilson,3,10/21/2024 8:01,1,I'm not sure where I can comment about the busses and not the app but the buss drivers never wait for you even when it's 1 second. I get they want to be on time but waiting a second should not be a big problem otherwise I think the app is very good when it comes to directions.
f025,Alessio Curri,1,10/14/2024 22:47,2,Why do you need my mobile number to be able to buy a train ticket? Spam much?
f026,Thomas N,1,10/11/2024 14:51,0,Scan QR code very often fails in the buses.Why not use NFC!🤦vir
f027,Andrea Villalobos,4,10/9/2024 12:14,1,"The best cost/benefit way to take public transport in the Scandinavian region. So just needs to improve in the options of moving in the map, especially in the walking way part."
f028,Clara D'Andrea,1,9/26/2024 21:53,0,"I only gave this app one star cuz I dont know how to give it a half.... if i could give it minus, I would. Lol just got back here to give it 1 star again cuz I forgot i already gave it"
f029,Christian Gylling,1,9/22/2024 15:11,1,"Can't buy a ticket, tough, lots of error messages.Customer service had no solution."
f030,Dilshan Weerathunga,4,9/1/2024 19:30,1,"My first impression of the app isn’t good because there’s no bottom navigation bar or hamburger menu. When I press the device's back button, a location selection alert appears instead. I think this needs to be changed."
f031,Niloofar Asadi zaki,1,8/5/2024 13:04,0,"When I tried to register my number I got the below error message: Oops, something went wrong! Contact customer service for more information."
f032,Vincent Videve,1,8/1/2024 23:18,0,Nothing wrong with the app but Skånetrafiken can pull somewhere
f033,2H2,2,7/5/2024 12:15,0,Mid
f034,Adam Nadolny,5,6/4/2024 18:06,2,"Great app, first time in Malmö and this app was really helpful for commuting from start to finish of my trip (CPH airport to Malmo and around the city). Thanks!"
f035,Jace,1,5/23/2024 15:49,1,"Not only does the app not say when the transportation is late or even cancelled, but it also doesn't accurately depict the best course of action to get from point A to point B. You just gotta pray you get a good driver or the buss won't even pick you up at the stops outside town."
f036,Mauricio Marin Jimenez,1,5/20/2024 8:20,0,It gets dumber and dumber with each update
f037,Anders Blomdell,1,4/8/2024 13:09,0,"Almost never can to scan the ticket on buses, perhaps because of too small QR code"
f038,Ludvig Mäki,1,3/30/2024 9:43,0,Can't buy a ticket.States that you have to be 18 years old.Stands that you can pay when you are 7-18 years ...
f039,Sara Bearnaise,2,3/18/2024 12:54,0,"Fit with the ticket on the phone, the app is something better at searching for trips with many changes than before.Sad to have to seek information about delays through the Swedish Transport Administration if you want correct info, Skånetrafiken's app/web rarely shows right.I get notification when the monthly ticket expires but not for the trips I follow.When I want to follow an event in the app, I get a message ""Null/Nnull"".The app is allowed to send all notes, even when the phone is in disturbing no position, does not work."
f040,Marcus Holmström,1,3/13/2024 7:57,0,"The worst public transport company in Sweden.Be careful and seek each sub -trip separately, otherwise incorrect suggestions will send you in the wrong direction.Otherwise, the fare is constantly increasing, bus lines are withdrawn and departures become fewer and fewer, especially outside big cities.Skånetrafiken does not deserve tax assets to finance its failed business."
f041,hasuchobogosu,1,2/20/2024 19:14,3,Is not accurate with delays. Will change time even if there is no delay then won't correct it until after it departed. Besides that really all Skånetrafikens services are at best a 2/10 and the prices are outrageous considering it's all paid by taxpayers.
f042,David,1,2/4/2024 14:07,0,"The ticket system is disastrously lousy and it is clear that Skånetrafiken is only trying to make more and more money on public transport.Tickets will be more expensive, the bus chafs will be unpleasant and both buses and trains are only more delayed."
f043,Tage Henningsson,4,1/29/2024 8:49,1,"Good for getting around if one needs, better than Blekinges"
f044,Chris Johansson,4,1/22/2024 8:50,1,"What did you do with the filtering in the search?Finding all options for commuting between Malmö and Helsingborg is no longer going.There are both Pågatåg and Öresund train that go to the same destinations but you filter one or the other?Where is the option that gives me both the fastest train and the trains that happen to take 5min longer?Fix your search results, filters are a choice not a preset and you set something so set to show everything.Thanks for the fix, now works :)"
f045,jo ke,2,1/19/2024 14:40,1,"I travell between Höör and Malmö and have lost half of my train options since the new time table came in December 2023. I have changed the filter when searching in the app but I still only get half of the available train departures. Pls fix! Hi Linus, thanks for the reply! It seems like the issues is fixed from Höör >> Malmö. But not the other way around. Could you please look into it? Thanks!"
f046,Robin Karlsson,1,1/2/2024 17:46,4,"Terribly designed app. I bought a ticket for a specific time and then a pop up asks me immediately after purchase if I want to activate my ticket, doing so invalidated it for the time I specified in the first step. Had to buy an additional ticket due to poor design."
f047,Anna Erdei,1,12/20/2023 15:55,0,"I have an Android 10. The qr code for tickets is too small and cannot be scanned on board. Every time I board the bus i have to explain that it is actually a valid ticket. Super annoying, every other app works on my phone except this."
f048,Krzysztof Zimmermann,1,12/15/2023 12:47,0,Incredibly messy and unreliable
f049,Rebecca Rose,2,11/21/2023 22:22,0,"Sooo is there going to be an update to fix the issues caused by the latest update? Before I could plan my journey in one step and it would show me the bus, train and bus I need to take. Now if I put in my usual journey it says to walk 1.5 km, take a train and then walk another 2km. So now I have to create three separate searches to find out how to get there."
f050,Addis,1,11/20/2023 17:06,0,Seems to be impossible for the trains to arrive on time.
f051,Dave Newell,1,11/13/2023 0:29,0,"Terrible service, trains always cancelled, rude staff, scammers."
f052,kazi azmery,5,11/11/2023 15:47,1,Good recommended
f053,Marius P.,5,11/5/2023 16:34,1,Works great!
f054,Pial Rahman,1,11/2/2023 13:30,0,"Would buy a ticket but the payment process hung, restart, the same thing again.The third time the app worked, however, three tickets had been purchased.When I discovered this, I did not receive a refund of SEK 428 for the two unactivated tickets when, according to customer service, I did not call the same day the tickets were purchased (did not notice the purchases at first).The hassle of the app hanging in payment processing is not uncommon for the app, sad that customers stand for your app not working properly."
f055,Martin Pedersen,4,10/31/2023 16:38,1,"Good, not great! Apparat from the occasional hickup with payments and confusing instructions when a bus is re-routed it works really well. I am missing the congestion indicators though. Sad to see them go."
f056,Mathias Svensson,4,10/29/2023 22:08,1,It's way too easy to accidentally activate a ticket right after purchased. I also wished I got a notification as a reminder when my flex 10/30 ticket is about to expire.
f057,Per He,3,10/27/2023 22:11,1,"Ok app.Would have been better to see an overview of the trip including the selected travel cloth, the time and the destination so that you press the pay button with a little extra peace and quiet and be assured that everything is right."
f058,Jan Elmlund,1,9/23/2023 12:06,9,"Hi, I would like to go between Malmö C and Malmö Drottningtorget.Skånetrafiken: Yes, you first have to take the bus to Kiruna, where you can switch to Snömobil and then go 30km to a train that is set (but it is the Swedish Transport Administration's fault) so you must first navigate in Lapland's forests for 3 days to reach replacement buses.The replacement bus goes via Oslo so there is a change (4 -day waiting time).Bus 666 from Oslo to Stockholm takes about a week depending on the weather.In Stockholm you can take the flight to the Tilkaktrup"
f059,Johan Sandgren,3,9/19/2023 11:51,0,Bug.Forgets those i lent to at new monthly card
f060,Frans Rosencrantz,1,9/9/2023 10:21,0,"The bus from Höganäs to Helsingborg is always delayed, which makes you miss the trains from Knutpunkten.Fix so that your bus times are right and have better margins."
f061,Alberto Fabbri,4,8/28/2023 20:33,6,"It would be awesome if, in addition to the option of monitoring certain trips, we could save locations as in Google Maps. Especially because the app doesn't have a well implemented ""search history"" function, it always forget my home address."
f062,Brandon Plombon,1,8/25/2023 20:49,0,Garbage
f063,Alfred Deutgen,2,8/22/2023 16:09,1,"Has a new Samsung.Does not matter how you turn and turn on the phone with the highest brightness and clean screen, can never succeed.So every time I have to stop the sex until the bus the driver lets me go or I have to explain that it never scans my phone."
f064,Vernita Jones,5,8/21/2023 18:08,0,"Best travel app I've used in Sweden. Thank you for switching the activation to after purchase, has saved me a few times!"
f065,e chilling,5,8/18/2023 13:32,0,Bra 😖:3
f066,mars merah,5,8/13/2023 6:21,0,Perfect apps to use
f067,Ferran Buireu,5,8/11/2023 14:15,0,Super easy to use and with very interesting discounts.Almost obliged to travel to Malmö and surroundings
f068,Einar Th,3,7/8/2023 15:37,1,"App is fine, the transport is awful. Bikes and baby carriages take up all the seats, the rest of the seats are either occupied or reserved. The air conditioning is good though."
f069,Mauricio Marín,1,7/4/2023 19:06,1,"When I can count well, at what time Route 3 in Malmö, I will consider raising the grade."
f070,David Sime,1,7/3/2023 12:44,1,"I must say, the recent color scheme update in the transport app has been rather disappointing. The new color choices have made everything appear indistinct and illegible, which is quite disheartening. Personally, I believe the app was much better before, when it sported a simpler palette of yellow, black, and gray (in dark mode). I hope the developers consider revisiting the previous color scheme, as it offered a more visually pleasing and user-friendly experience."
f071,Timur Sahin,1,6/20/2023 19:33,6,"You need to verify a phone number to use the app, but you never get the text. I entered three different phone numbers, with and without the country code, and none of them got the text. Finally gave up."
f072,Knut Hörberg,1,6/13/2023 13:33,0,"Works, but has a ton of annoyances."
f073,Erik Bjäreholt,5,6/5/2023 9:54,0,On the way to a better app.Now just fix what people whine about (English in the app I would consider most important) so it will be really good in the end.Edit: Now damn good.Others can learn some.
f074,Tonali Kolar,1,5/14/2023 19:35,0,Worst transport company in Sweden.Always delayed and no one cares about you as a customer.A half star is too much for this lousy company.
f075,Logga Ut,1,5/7/2023 1:43,0,"Wish I could give this service a minus. I'm ashamed to be Swedish, that's how disappointing Skånetrafiken is EVERY GODDAMN DAY. If you love paying 25€ to get dissapointed and having to dish out another 100€ for an uber just to get home any day of the week then Skånetrafiken is the service for you!"
f076,Rik Bouwmeester,1,4/28/2023 10:37,0,"Used to work very well, now with failing purchases get ready to miss all your trains"
f077,Jimmy Erixon,1,4/7/2023 11:40,0,"It's like the actual traffic, nothing works. And why does my virusapp detect malware from this app?!"
f078,Tobias,1,3/29/2023 7:01,0,Unable to take screenshots in the app.Do not update when there is a track change (worked in the previous app) compulsion on updating the app to buy a ticket.
f079,Ivana Vukelic,2,3/22/2023 7:52,0,"Terrible issues with adding payment card, it simply doesn't work."
f080,Julio Ulloa,1,3/1/2023 8:32,1,There is no feedback option. No way to express dalayed or missconducts in the busses. No help by calling customer service. Reviwed almost a year ago. No updates.
f081,Enjoy Football,1,2/16/2023 7:47,0,Scam! I bough the ticket for 1 month 1 month ago for 555 kr and nor it's 624 kr!
f082,Paul Malmheden,4,2/3/2023 13:51,1,"Works well now after latest update. Still more payment options would be nice. Googlepay etc Edit: bought a pixel 6a and you need to activate Dark mode and Extra Dim, as well as hold the phone ca 2cm from the reader to get successful in 8-9/10 tries, indicating light level as a potential cause. Good response from support!"
f083,Daniel Runemalm,2,1/30/2023 20:03,0,I really like this app and it has many good features and interfaces.The reason for the low grade is that after the last big update a couple of months ago you did about the search algorithm and now I can no longer see my entire trip within the City of Malmö on a search that I could before.I now have to do a search on city bus and a new search on Pågatåg.Very frustrating!Hope you will rectify this very soon.
f084,Charlie Jonasson,5,1/16/2023 1:48,0,cheaper prices
f085,Dan Zamora,4,12/30/2022 11:13,0,App worked great during the time we were in Malmö. Searching for routes was easy with all the relevant time and information. Do wish there was more payment options like Google pay or samsung pay. Overall it worked as expected.
f086,Raprasor Sy,5,12/27/2022 11:45,0,Brilliant App. Can see real time bus locations. Very usefull.
f087,Janne Hako,1,12/17/2022 9:22,2,Even a monkey would be able to arrange better service than Skånetrafiken.
f088,Måns Leifsson,5,12/16/2022 18:23,1,"Edit: The points I raised are now fixed.Thanks for that.Please do not change the bus table if the bus is late.If it caught up with time, you will be late to the stop.Instead, put a warning.The old app had very clear where the tables were easier to use.Something that needs to be done is to add the times to the intermediate stations when checking a bus ride.That being said, the new app has much more potential, but so far it is far from as good as the old one."
f089,Daniel Thursfield,4,12/14/2022 10:10,0,Works well and the opportunity to share a ticket is fantastic!
f090,Jesper Svensson,2,12/9/2022 22:31,0,"Switch on/off full brightness has no effect, always full. Scanner on the bus is so bad with Google pixel that I simply gave up a few times."
f091,John Traas,1,12/8/2022 16:44,1,"Awful recent updating to the search logic. Most searches turn up no results now. 'My Location' no longer works, trying to search from a local bus stop to another station returns zero results if you don't narrow the search down to the correct departure time, whereas it used to provide all upcoming options. Whatever the most recent updates to the search functionality were, it is massively broken and now provides an awful user experience."
f092,Siriginidi S Rao,5,11/30/2022 21:54,0,Very good and user friendly app
f093,THE HOGE REVIEWER,1,11/29/2022 13:58,0,Horungar ... expensive tickets delayed trains/buses ... worthless company (monopoly)
f094,Max Power,1,11/22/2022 8:45,1,"Unfortunately not suited for travelers. It used to be impossible to sign up with a foreign mobile number, now it is impossible to sign up with an international debit/credit card due to the terrible service of Swedbank. Do I really have to use the Trainline App instead because you are incapable of reaching international standards? I believe Sweden can do better!"
f095,Ertugrul Ciltik,4,11/17/2022 4:05,1,"Problems with the app today. When searching for location of station or bus it says, I might have an unsecure internet connection or wrong clock timer or try and update app. After reinstalling app I can no longer log on. At log in it says that there is no communication to the app. Fix pls."
f096,Hannes Samuelsson,5,11/12/2022 14:31,0,Works well.Better than other public transport in Sweden.
f097,Benic Pin,2,11/11/2022 9:20,0,Cannot buy ticket with credit card for the last 2 weeks!
f098,Lola Ruzikulova,3,11/7/2022 13:23,2,"Major issues with ticket purchase. Please, solve the technical problem. Reinstalling didn't help, as well as chatting with skanetrafiken and bank employees. In general, the application is really user friendly, handy and easy to use. But lately I have been experiencing problems with payment. I can't purchase a new ticket as every time I try, the application tells me that there is some problem and I should try doing it later. Doing it later - didn't help, as well as reinstalling the application."
f099,Mikkel Lind,1,11/5/2022 14:23,0,It's wrong with your app.It sometimes shows the wrong time even if you activated the ticket correctly.You are the worst.Worthless customer support with.Cannot communicate for a penny.Scam company stay away.5/11/22.You still have not fixed any problems but rather become worse.The app often shows the wrong times or the wrong track and there is so much problem with the app that it is not always possible to buy a ticket.Will be forced to buy a car.
f100,Johanna Moss,5,11/1/2022 12:24,0,Amazing app
f101,Sándor Deák,3,10/28/2022 13:41,1,"Can't buy ticket with foreign phone number. Sms not received. UPDATE: have received the sms after a couple of hours, and managed to buy tickets later."
f102,Ericson Francisko,1,10/27/2022 19:33,0,"Unreliable app with unresolved issues and in need of optimisation. Issues 1. if you have wifi turned on (but arent connected to it) your ticket will show as invalid 2. some kind of quick button to quickly just open the ticket for scaning would be more than welcome... right now you have to open the app, you get asked to turn on gps, need to press no thank you, press ticket tab.. etc I cant believe developer didnt think of adding a button that would present currently valid ticket with 1 click"
f103,Magnus Göransson,1,10/23/2022 21:33,0,"The app does not send any activation code to my Icelandic mobile number.Thus, I cannot buy any ticket.Can you fix so that the app works with foreign mobiles as well?"
f104,Gustaf,4,10/2/2022 11:41,3,Good but bug: Payment of 24 hrs ticket (student) grayed out when language set to English. Worked when set to Swedish. On Samsung Galaxy S21 with newest version (released 27th Sept)
f105,Dennis,1,9/16/2022 10:28,0,"App works fine, too bad we are cursed with having Skånetrafiken"
f106,Markus Berthilsson,1,9/7/2022 17:14,0,Real bottom company that takes no responsibility for their mistakes and punishing their customers strongly when they do something wrong.Hope it will be abolished in the near future and replaced by the private sector.
f107,Emanuel Sjödin,1,8/22/2022 6:21,0,Problems after problems with both the app and the buses/trains.
f108,ZlayerPlayer,1,8/18/2022 23:03,1,"The app is alright, but their service is horrible, good luck if you're traveling with Skånetrafiken"
f109,Ola Hindmo,3,8/14/2022 1:17,0,It's ok. Needed to have the e ticket as traffic is cash less
f110,Oskar hertzman,1,8/5/2022 11:09,0,Worst app ever
f111,Andreas Lymalm,5,8/2/2022 10:27,0,A very clean and user friendly app. I love it.
f112,Garloc,1,7/30/2022 18:51,0,Can't use it on my phone. this problem shudnt ever happen. Now I can't use my expensive buss ticket..
f113,Thomas Hallén,2,7/27/2022 9:38,0,Why does it chime? The app really should have a way to turn of the sound.
f114,Valdemar KJ,5,7/22/2022 19:34,0,Skåneland
f115,Ben Lewis,5,7/10/2022 13:48,0,Very helpful.
f116,balaji alla,5,6/26/2022 16:30,0,It is good now.
f117,Milena Stojsavljević,1,6/14/2022 12:06,4,"Can't use the app or buy tickets if you don't register a phone number, but the text message doesn't arrive. Is it not supposed to work with international numbers? Edit: Just because it SHOULD WORK doesn't mean it actually works. It doesn't. I ended up buying a Swedish sim card in order to be able to use this app."
f118,Claudia,1,6/13/2022 21:38,1,"Cannot use it anymore, as it doesn't work with foreign numbers. YOu need to validate the credit card payment, inputting a code you receive via sms, but the message never arrives. Really a pity as it was very useful before."
f119,Guggerino,3,6/13/2022 10:21,0,"Why do the buses go before they say they should do D?!We have to adapt to the buses, not the other way around, they are not okay !!!!"
f120,Niklas Grabowski,1,6/10/2022 13:38,0,Idiotic that 24 hours ticket is managed when I buy a ticket for a specific trip I searched.
f121,S,1,6/6/2022 23:11,0,The app is quite obscure to use...
f122,Mohammad Khanzada,5,5/25/2022 10:27,0,Is good
f123,Jim Jokinen,5,5/16/2022 0:01,0,Current android (Samsung) experience is top notch
f124,premier69,2,5/9/2022 7:24,0,"""Login failed - you have moved your ticket max number of times this period.""So whose aftermath was this?My old phone broke down, I had a loan phone for a period and now I finally have a new phone but I can't use my ticket that I paid for because of arbitrary puck barriers?Your controllers will hear my whining them with."
f125,Darko Vukovic,1,4/28/2022 22:58,0,Can't register
f126,Direkten_Spetz,1,4/24/2022 11:54,0,No info that is in the app about bus times is true ....... Now you have no paper schedule at the bus site with 🤦vir.
f127,Stefan Dee,4,4/20/2022 12:36,0,Cant get code at foreign number
f128,Noelle Mie,1,4/19/2022 17:18,0,Seriously hats you
f129,hugo kønigsfeldt,1,4/8/2022 22:29,0,Extremely bad condition
f130,Shane Doherty,1,3/22/2022 18:19,0,Pixel 6. App crashes when selecting ticket
f131,Tyron Small Wade,5,3/15/2022 13:05,1,Simple and easy to use. Great public transport and quality service
f132,S Bhatt,1,3/12/2022 19:58,0,Borrowed tickets don't show up.
f133,Oli M,1,3/5/2022 11:48,0,it's the worst company in the world
f134,Juan Pablo Acosta López,1,2/21/2022 7:04,1,Did not receive the code to register the cellphone. Could not buy tickets. Lost my train.
f135,Avic,2,2/17/2022 10:01,0,I've never rode a train without any delays
f136,mahmoud kouzom,4,2/6/2022 6:50,0,"The app is good and I grateful for what they do, but I live next to the bus stop and they say the bus is coming in a time and the bus will come earlier.When it is clear, of course, I want to go the bus last minute to my job."
f137,Jordan Malenko,1,2/3/2022 15:40,11,"Very often I get the ""Oops, something went wrong"" when I do payment. It's incredibly annoying and unreliable. Edit: Still the same message appears very frequently."
f138,Noa Håkansson,3,1/25/2022 13:40,0,"Works fine enough, but it's slow and they ruin the UI even more with every update."
f139,Prakash Kavilapati,4,1/22/2022 20:43,0,"Dear Team, Please try to develop a Widget for the App that can directly open the tickets, this would be helpful in opening the tickets quickly when required."
f140,Nilabh,3,1/19/2022 19:09,0,"After today's update, the screen is not going to full brightness when ticket QR is opened for scanning. Please fix. Android 10"
f141,Mattias Johansson,1,1/18/2022 15:14,0,The useful parts of the app work very rarely.Information comes too late.Long after people have already understood that the trains are grossly delayed.
f142,Joline Batez,3,1/14/2022 7:51,0,It's very hard to get to school when the app isn't working.
f143,o Naing,1,12/26/2021 19:18,0,"Ridiculous that the ticket activation option is checked by default. Bought a ticket accidentally, didn't use it and then there was no way to deactivate it."
f144,farah hafez,5,12/26/2021 16:17,0,Very good app
f145,Aman Singh,1,12/25/2021 9:12,0,Tried to buy ticket for 16:00 but the app gave ticket for 9am and activated it too. . .
f146,Eleshinla Adebayo,5,12/22/2021 8:10,1,"I like this app because is very good and farster, I really enjoy it."
f147,Bartosz Tomczak,2,12/21/2021 8:07,0,"App worked great until update where they changes gui. The app was easier to use before, there was an option to add to favorites some routes, that you could pick directly when you opened app. Now it's changed, and it shows you recent search instead, which is really annoying."
f148,Eimantas Gladkauskas,1,12/18/2021 6:37,0,"The bus drivers hate life thus they are driving like insane, half of the trains are stopped or delayed, absolutely terrible"
f149,Lakhwinder Singh,1,12/14/2021 20:14,0,Always Late.
f150,Mo A,1,12/12/2021 20:52,0,"The badest thing I've been to, I would just go into the bus and then the app doesn't work, I try to activate my card then it doesn't go.I get a fine in place.While my friend with the same thing went in without any problems.I am an Arab and he is Swedish.It feels like your chant has some racist motifs behind this event.A day later I you a guy (dark -skinned) get fined.He just needed to charge his mobile.He did it and show the ticket but still he got a fine of SEK 1500.Very"
f151,Henrik Nielsen,1,12/11/2021 18:51,0,Does not work.
f152,Dzenis Madzovic,1,12/6/2021 13:26,0,Awful. An app this important shouldn't have server issues this often
f153,Umar Javed,1,12/5/2021 17:46,0,"I am installing the app but it stucks on loading, unable to install. Why is it so?"
f154,Mohafez H.,1,12/4/2021 14:50,0,"Bad, there is no way to contact them to explain something to them or to solve a problem,"
f155,Filip Johansson,1,12/2/2021 8:07,0,Feels like betting to make everyday life more complicated and stressful
f156,Timofej Bliki,1,11/30/2021 15:57,0,somehow the app is as bad as the buses
f157,Ousman Bojang,5,11/27/2021 3:18,0,borrow ticket show now
f158,Sofia Mitsigkola,1,11/26/2021 12:55,0,"I am getting the message ""oops something went wrong"" all the time. I am not able to add my bank card or to buy ticket. Please fix this."
f159,Mikael Andersson,2,11/26/2021 12:31,0,Can no longer search with addresses which worked earlier and be smooth if you do not know what all bus stops are called or exist.
f160,Jacob Jørgensen,2,11/22/2021 19:28,0,I can't do a search from my home to my work
f161,Robin Segovia,1,11/21/2021 10:54,0,"The app got a star, because it was not possible to buy tickets in advance.It is not activated at part of the departure time chosen.Without directly at the time of purchase.The money back if you buy a 24 hour ticket, where you think has a definite departure and that does not apply.Got to buy another day after.The warning that the tickets start to apply immediately, should be a popup that one must accept, and not as it is today .... Robin"
f162,Nicole Strömberg,3,11/2/2021 18:04,5,"Worked fine for a really long time, but now anytime i try to pay using a monthly bill, once to try to confirm the purchase and activate the ticket, the app apparently can't connect to the system and I never get my ticket"
f163,Calle Montelius,2,11/1/2021 7:51,0,The app was great before.Now I can't pay with my card.It says it loses contact to server or something.
f164,Mar Ia,2,10/22/2021 12:19,2,"It worked just fine for 1 week and then I couldn't pay for anything. Tried reintroducing the paying method, but now it won't even let me put in my account details."
f165,Ted Berg,4,10/13/2021 22:16,0,Useful and easy to use.
f166,Antonio W,1,10/7/2021 2:22,0,There is trouble paying for their ticket all the time
f167,Michel Ducourneau,1,10/4/2021 9:07,0,"Slow and unreliable, worst arrangement for a travel app."
f168,Francois Polito,1,10/2/2021 10:55,0,"This app requires malwares such as Google services to work as intended. Skånetrafiken obliged its users to use this app to access the whole catalog of their offers (example Flex Biljett). This app is not appropriate for children, residents outside Sweden and who may be concerned about privacy."
f169,Rayxter,1,9/22/2021 20:32,0,As bad as when the app first came out.
f170,Joakim Persson,4,9/16/2021 14:32,0,"Desire for the app: Being able to set up so that ""activating ticket"" is not automatically pre -checked."
f171,MKL,1,9/10/2021 16:01,0,The app is constantly crashing when I have to pay.
f172,K. S.,1,9/9/2021 9:16,0,"Can't put it my credit card payment! Whenever I go through the steps of adding a credit card for payment, it gets stuck at the security code and there's no way to go past it - I Klick on go back and its all gone. It almost got my bank account blocked once because I asked for a security code too many times"
f173,M D,3,9/7/2021 12:24,1,"Ok app. No ads. Very useful to plan a route in Skåne Strange thing is that editing a Starred place requires two addresses (From and To) as if it was a route but it's just a single location, f. ex. your home or workplace."
f174,Jens Kloster,1,8/11/2021 17:33,0,"Completely impossible to choose a trip to Helleup from Perstorp via Ferja Helsingborg-Helsingör.It should be possible to choose ""via"""
f175,Emanuel Lindström,2,8/10/2021 10:40,0,"Bought a ticket and then it was activated immediately after without we wanted to.Maybe I happened to activate it myself, but it is very unclear where you activate it ice cream.Now I have to buy another trip just for that."
f176,Anton,2,7/30/2021 13:35,0,"I have the phone in English but want this app in Swedish.If I put Swedish on the app, nothing happens, even if I restart the phone."
f177,Cristian Klein,5,7/20/2021 12:36,0,A must-have if you live in Scania (Skåne).
f178,Catherine Norwood,1,7/13/2021 12:48,0,It won't register my number
f179,oscar persson,2,7/9/2021 15:58,18,"The app is quite good but some features needs improvement. 1. When switching from viewing the ticket (full brightness) to another action bar item the brightness stays on full. 2. The scanners on the busses is terrible, sometimes they scan in less than 1s sometimes never even though trying over a minute. 3. The search do not shows all routs which sometimes is frustrating because you have to search for individual parts of a travel to figure out how long it would be. The list goes on. Washington?"
